country code,zip,place name,admin name1,admin code1,admin name2,admin code2,admin name3,admin code3,lat,lon,accuracy
CH,8342,Wernetshausen,Kanton Z’_rich,ZH,Bezirk Hinwil,105,Hinwil,117,47.2906,8.878,6
CH,8343,Hinwil Dist Ba,Kanton Z’_rich,ZH,Bezirk Hinwil,105,Hinwil,117,47.3111,8.85,4
CH,8344,B’_retswil,Kanton Z’_rich,ZH,Bezirk Hinwil,105,B’_retswil,111,47.3361,8.8739,6
CH,8345,Adetswil,Kanton Z’_rich,ZH,Bezirk Hinwil,105,B’_retswil,111,47.3422,8.8367,6
CH,8496,Steg im T’_sstal,Kanton Z’_rich,ZH,Bezirk Hinwil,105,Fischenthal,114,47.3443,8.9461,6
CH,8497,Fischenthal,Kanton Z’_rich,ZH,Bezirk Hinwil,105,Fischenthal,114,47.3328,8.9253,6
CH,8498,Gibswil,Kanton Z’_rich,ZH,Bezirk Hinwil,105,Fischenthal,114,47.32,8.9072,6
CH,8607,Aathal-Seegr’_ben,Kanton Z’_rich,ZH,Bezirk Hinwil,105,Seegr’_ben,119,47.3431,8.7673,6
CH,8608,Bubikon,Kanton Z’_rich,ZH,Bezirk Hinwil,105,Bubikon,112,47.2758,8.8108,6
CH,8614,Bertschikon (Gossau ZH),Kanton Z’_rich,ZH,Bezirk Hinwil,105,Gossau (ZH),115,47.3211,8.7583,6
CH,8620,Wetzikon ZH,Kanton Z’_rich,ZH,Bezirk Hinwil,105,Wetzikon (ZH),121,47.3224,8.8064,6
CH,8621,Wetzikon ZH 4,Kanton Z’_rich,ZH,Bezirk Hinwil,105,Wetzikon (ZH),121,47.2833,8.75,4
CH,8622,Wetzikon ZH,Kanton Z’_rich,ZH,Bezirk Hinwil,105,Wetzikon (ZH),121,47.2833,8.75,4
CH,8623,Wetzikon ZH,Kanton Z’_rich,ZH,Bezirk Hinwil,105,Wetzikon (ZH),121,47.3327,8.8169,6
CH,8624,Gr’_t (Gossau ZH),Kanton Z’_rich,ZH,Bezirk Hinwil,105,Gossau (ZH),115,47.3102,8.779,6
CH,8625,Gossau ZH,Kanton Z’_rich,ZH,Bezirk Hinwil,105,Gossau (ZH),115,47.3051,8.7558,6
CH,8626,Ottikon (Gossau ZH),Kanton Z’_rich,ZH,Bezirk Hinwil,105,Gossau (ZH),115,47.2893,8.786,6
CH,8627,Gr’_ningen,Kanton Z’_rich,ZH,Bezirk Hinwil,105,Gr’_ningen,116,47.2786,8.762,6
CH,8630,R’_ti ZH,Kanton Z’_rich,ZH,Bezirk Hinwil,105,R’_ti (ZH),118,47.2581,8.8607,6
CH,8632,Tann,Kanton Z’_rich,ZH,Bezirk Hinwil,105,D’_rnten,113,47.2682,8.8479,6
CH,8633,Wolfhausen,Kanton Z’_rich,ZH,Bezirk Hinwil,105,Bubikon,112,47.2584,8.7983,6
CH,8635,D’_rnten,Kanton Z’_rich,ZH,Bezirk Hinwil,105,D’_rnten,113,47.2749,8.8743,6
CH,8636,Wald ZH,Kanton Z’_rich,ZH,Bezirk Hinwil,105,Wald (ZH),120,47.2931,8.9303,6
CH,8637,Laupen ZH,Kanton Z’_rich,ZH,Bezirk Hinwil,105,Wald (ZH),120,47.2666,8.93,6
CH,8639,Faltigberg,Kanton Z’_rich,ZH,Bezirk Hinwil,105,Wald (ZH),120,47.2763,8.9434,4
CH,8134,Adliswil,Kanton Z’_rich,ZH,Bezirk Horgen,106,Adliswil,131,47.3079,8.5218,6
CH,8135,Sihlwald,Kanton Z’_rich,ZH,Bezirk Horgen,106,Horgen,133,47.2656,8.5585,6
CH,8135,Sihlbrugg Station,Kanton Z’_rich,ZH,Bezirk Horgen,106,Horgen,133,47.2427,8.5747,6
CH,8135,Langnau am Albis,Kanton Z’_rich,ZH,Bezirk Horgen,106,Langnau am Albis,136,47.2759,8.5388,6
CH,8136,Gattikon,Kanton Z’_rich,ZH,Bezirk Horgen,106,Thalwil,141,47.2794,8.5531,6
CH,8800,Thalwil,Kanton Z’_rich,ZH,Bezirk Horgen,106,Thalwil,141,47.292,8.569,6
CH,8801,Thalwil F’_cher,Kanton Z’_rich,ZH,Bezirk Horgen,106,Thalwil,141,47.25,8.6417,4
CH,8802,Kilchberg ZH,Kanton Z’_rich,ZH,Bezirk Horgen,106,Kilchberg (ZH),135,47.327,8.5503,6
CH,8803,R’_schlikon,Kanton Z’_rich,ZH,Bezirk Horgen,106,R’_schlikon,139,47.3059,8.5556,6
CH,8804,Au ZH,Kanton Z’_rich,ZH,Bezirk Horgen,106,W’_denswil,142,47.2484,8.6508,6
CH,8805,Richterswil,Kanton Z’_rich,ZH,Bezirk Horgen,106,Richterswil,138,47.2139,8.7098,6
CH,8810,Horgen,Kanton Z’_rich,ZH,Bezirk Horgen,106,Horgen,133,47.2573,8.6042,6
CH,8812,Horgen Bahnhof Oberdorf,Kanton Z’_rich,ZH,Bezirk Horgen,106,Horgen,133,47.2667,8.5833,4
CH,8813,Horgen,Kanton Z’_rich,ZH,Bezirk Horgen,106,Horgen,133,47.2667,8.5833,4
CH,8815,Horgenberg,Kanton Z’_rich,ZH,Bezirk Horgen,106,Horgen,133,47.2479,8.5839,6
CH,8816,Hirzel,Kanton Z’_rich,ZH,Bezirk Horgen,106,Hirzel,132,47.2203,8.602,6
CH,8820,W’_denswil,Kanton Z’_rich,ZH,Bezirk Horgen,106,W’_denswil,142,47.2225,8.6549,6
CH,8824,Sch’_nenberg ZH,Kanton Z’_rich,ZH,Bezirk Horgen,106,Sch’_nenberg (ZH),140,47.1925,8.6407,6
CH,8825,H’_tten,Kanton Z’_rich,ZH,Bezirk Horgen,106,H’_tten,134,47.1735,8.6588,6
CH,8833,Samstagern,Kanton Z’_rich,ZH,Bezirk Horgen,106,Richterswil,138,47.1936,8.6795,6
CH,8942,Oberrieden,Kanton Z’_rich,ZH,Bezirk Horgen,106,Oberrieden,137,47.2749,8.5785,6
CH,8125,Zollikerberg,Kanton Z’_rich,ZH,Bezirk Meilen,107,Zollikon,161,47.3447,8.6078,6
CH,8126,Zumikon,Kanton Z’_rich,ZH,Bezirk Meilen,107,Zumikon,160,47.3359,8.6258,6
